# gen by python
param Kdim :=10;
param n := 10;
param : E : c I :=
1 2 0.6562336028076367 1
1 3 0.432247029159513 1
1 4 0.13699045249856195 1
1 5 0.35340923268721064 1
1 6 0.7672599280076611 1
1 8 0.7754247041911873 1
1 9 0.44497410955637895 1
2 6 0.25552544146827 1
2 8 0.242342050273018 1
2 9 0.32773471667363 1
3 8 0.8860307475032005 1
3 9 0.34237164749246324 1
3 10 0.5265335234673084 1
4 5 0.21715945069302126 1
4 10 0.6910441953744088 1
5 7 0.3272273786274862 1
5 10 0.5049745338451647 1
6 7 0.6124975120915517 1
6 8 0.023733146720312983 1
6 9 0.5548795420138182 1
6 10 0.7582866123123682 1
7 9 0.17143251620419553 1
8 10 0.7414195538625473 1
;
